┌──────────────────────────────────┬─────────────┐
│             Country              │ COVID_count │
├──────────────────────────────────┼─────────────┤
│ Zimbabwe                         │ 1           │
│ Zambia                           │ 1           │
│ Yemen                            │ 1           │
│ Wallis and Futuna                │ 1           │
│ Vietnam                          │ 1           │
│ Venezuela                        │ 1           │
│ Vatican                          │ 1           │
│ Vanuatu                          │ 1           │
│ Uzbekistan                       │ 1           │
│ Uruguay                          │ 1           │
│ United States                    │ 1           │
│ United Kingdom                   │ 1           │
│ United Arab Emirates             │ 1           │
│ Ukraine                          │ 1           │
│ Uganda                           │ 1           │
│ Turks and Caicos Islands         │ 1           │
│ Turkey                           │ 1           │
│ Tunisia                          │ 1           │
│ Trinidad and Tobago              │ 1           │
│ Tonga                            │ 1           │
│ Togo                             │ 1           │
│ Timor                            │ 1           │
│ Thailand                         │ 1           │
│ Tanzania                         │ 1           │
│ Tajikistan                       │ 1           │
│ Taiwan                           │ 1           │
│ Syria                            │ 1           │
│ Switzerland                      │ 1           │
│ Sweden                           │ 1           │
│ Suriname                         │ 1           │
│ Sudan                            │ 1           │
│ Sri Lanka                        │ 1           │
│ Spain                            │ 1           │
│ South Sudan                      │ 1           │
│ South Korea                      │ 1           │
│ South Africa                     │ 1           │
│ Somalia                          │ 1           │
│ Solomon Islands                  │ 1           │
│ Slovenia                         │ 1           │
│ Slovakia                         │ 1           │
│ Sint Maarten (Dutch part)        │ 1           │
│ Singapore                        │ 1           │
│ Sierra Leone                     │ 1           │
│ Seychelles                       │ 1           │
│ Serbia                           │ 1           │
│ Senegal                          │ 1           │
│ Saudi Arabia                     │ 1           │
│ Sao Tome and Principe            │ 1           │
│ San Marino                       │ 1           │
│ Samoa                            │ 1           │
│ Saint Vincent and the Grenadines │ 1           │
│ Saint Lucia                      │ 1           │
│ Saint Kitts and Nevis            │ 1           │
│ Rwanda                           │ 1           │
│ Russia                           │ 1           │
│ Romania                          │ 1           │
│ Qatar                            │ 1           │
│ Portugal                         │ 1           │
│ Poland                           │ 1           │
│ Philippines                      │ 1           │
│ Peru                             │ 1           │
│ Paraguay                         │ 1           │
│ Papua New Guinea                 │ 1           │
│ Panama                           │ 1           │
│ Palestine                        │ 1           │
│ Palau                            │ 1           │
│ Pakistan                         │ 1           │
│ Oman                             │ 1           │
│ Oceania                          │ 1           │
│ Norway                           │ 1           │
│ North Macedonia                  │ 1           │
│ North America                    │ 1           │
│ Nigeria                          │ 1           │
│ Niger                            │ 1           │
│ Nicaragua                        │ 1           │
│ New Zealand                      │ 1           │
│ New Caledonia                    │ 1           │
│ Netherlands                      │ 1           │
│ Nepal                            │ 1           │
│ Namibia                          │ 1           │
│ Myanmar                          │ 1           │
│ Mozambique                       │ 1           │
│ Morocco                          │ 1           │
│ Montserrat                       │ 1           │
│ Montenegro                       │ 1           │
│ Mongolia                         │ 1           │
│ Monaco                           │ 1           │
│ Moldova                          │ 1           │
│ Micronesia (country)             │ 1           │
│ Mexico                           │ 1           │
│ Mauritius                        │ 1           │
│ Mauritania                       │ 1           │
│ Marshall Islands                 │ 1           │
│ Malta                            │ 1           │
│ Mali                             │ 1           │
│ Maldives                         │ 1           │
│ Malaysia                         │ 1           │
│ Malawi                           │ 1           │
│ Madagascar                       │ 1           │
│ Macao                            │ 1           │
│ Luxembourg                       │ 1           │
│ Lithuania                        │ 1           │
│ Liechtenstein                    │ 1           │
│ Libya                            │ 1           │
│ Liberia                          │ 1           │
│ Lesotho                          │ 1           │
│ Lebanon                          │ 1           │
│ Latvia                           │ 1           │
│ Laos                             │ 1           │
│ Kyrgyzstan                       │ 1           │
│ Kuwait                           │ 1           │
│ Kosovo                           │ 1           │
│ Kiribati                         │ 1           │
│ Kenya                            │ 1           │
│ Kazakhstan                       │ 1           │
│ Jordan                           │ 1           │
│ Jersey                           │ 1           │
│ Japan                            │ 1           │
│ Jamaica                          │ 1           │
│ Italy                            │ 1           │
│ Israel                           │ 1           │
│ Isle of Man                      │ 1           │
│ Ireland                          │ 1           │
│ Iraq                             │ 1           │
│ Iran                             │ 1           │
│ Indonesia                        │ 1           │
│ India                            │ 1           │
│ Iceland                          │ 1           │
│ Hungary                          │ 1           │
│ Hong Kong                        │ 1           │
│ Honduras                         │ 1           │
│ Haiti                            │ 1           │
│ Guyana                           │ 1           │
│ Guinea-Bissau                    │ 1           │
│ Guinea                           │ 1           │
│ Guernsey                         │ 1           │
│ Guatemala                        │ 1           │
│ Grenada                          │ 1           │
│ Greenland                        │ 1           │
│ Greece                           │ 1           │
│ Gibraltar                        │ 1           │
│ Ghana                            │ 1           │
│ Germany                          │ 1           │
│ Georgia                          │ 1           │
│ Gambia                           │ 1           │
│ Gabon                            │ 1           │
│ French Polynesia                 │ 1           │
│ France                           │ 1           │
│ Finland                          │ 1           │
│ Fiji                             │ 1           │
│ Faeroe Islands                   │ 1           │
│ Ethiopia                         │ 1           │
│ Eswatini                         │ 1           │
│ Estonia                          │ 1           │
│ Eritrea                          │ 1           │
│ Equatorial Guinea                │ 1           │
│ El Salvador                      │ 1           │
│ Egypt                            │ 1           │
│ Ecuador                          │ 1           │
│ Dominican Republic               │ 1           │
│ Dominica                         │ 1           │
│ Djibouti                         │ 1           │
│ Denmark                          │ 1           │
│ Democratic Republic of Congo     │ 1           │
│ Czechia                          │ 1           │
│ Cyprus                           │ 1           │
│ Curacao                          │ 1           │
│ Cuba                             │ 1           │
│ Croatia                          │ 1           │
│ Cote d'Ivoire                    │ 1           │
│ Costa Rica                       │ 1           │
│ Cook Islands                     │ 1           │
│ Congo                            │ 1           │
│ Comoros                          │ 1           │
│ Colombia                         │ 1           │
│ China                            │ 1           │
│ Chile                            │ 1           │
│ Chad                             │ 1           │
│ Central African Republic         │ 1           │
│ Cayman Islands                   │ 1           │
│ Cape Verde                       │ 1           │
│ Canada                           │ 1           │
│ Cameroon                         │ 1           │
│ Cambodia                         │ 1           │
│ Burundi                          │ 1           │
│ Burkina Faso                     │ 1           │
│ Bulgaria                         │ 1           │
│ Brunei                           │ 1           │
│ British Virgin Islands           │ 1           │
│ Brazil                           │ 1           │
│ Botswana                         │ 1           │
│ Bosnia and Herzegovina           │ 1           │
│ Bolivia                          │ 1           │
│ Bhutan                           │ 1           │
│ Bermuda                          │ 1           │
│ Benin                            │ 1           │
│ Belize                           │ 1           │
│ Belgium                          │ 1           │
│ Belarus                          │ 1           │
│ Barbados                         │ 1           │
│ Bangladesh                       │ 1           │
│ Bahrain                          │ 1           │
│ Bahamas                          │ 1           │
│ Azerbaijan                       │ 1           │
│ Austria                          │ 1           │
│ Australia                        │ 1           │
